0.067099;1;1;1;0.198;1;0.32329;1;0.34846;1
0.066005;0.99428;0.99282;0.99333;0.19892;0.98188;0.35048;0.98058;0.33376;0.97267
0.063971;0.98955;0.98499;0.98782;0.20186;0.9624;0.37801;0.9597;0.31939;0.94534
0.061094;0.98573;0.97654;0.98337;0.20713;0.94162;0.40583;0.93743;0.30534;0.91807
0.057483;0.9827;0.96749;0.97983;0.21496;0.91959;0.43386;0.91381;0.2916;0.89093
0.053252;0.98035;0.95786;0.9771;0.22546;0.89638;0.46205;0.88894;0.27818;0.86396
0.048523;0.97857;0.94769;0.97502;0.23862;0.87207;0.49033;0.86289;0.26507;0.83724
0.04342;0.97725;0.937;0.97348;0.25435;0.84675;0.5186;0.83575;0.25226;0.81081
0.038076;0.97626;0.92584;0.97233;0.27246;0.82048;0.54681;0.80759;0.23975;0.78472
0.032622;0.9755;0.91422;0.97144;0.29273;0.79337;0.57486;0.77854;0.22754;0.75903
0.027194;0.97484;0.9022;0.97068;0.31491;0.7655;0.60267;0.74867;0.21563;0.73379
0.021927;0.97419;0.8898;0.96992;0.33875;0.73697;0.63017;0.71809;0.20401;0.70902
0.016952;0.97343;0.87707;0.96903;0.36399;0.70788;0.65726;0.68691;0.19268;0.68478
0.0124;0.97245;0.86405;0.96789;0.39041;0.67833;0.68386;0.65524;0.18165;0.6611
0.0083931;0.97117;0.85077;0.9664;0.41777;0.64841;0.70989;0.62318;0.17091;0.63802
0.0050484;0.9695;0.83728;0.96445;0.44587;0.61824;0.73526;0.59084;0.16046;0.61555
0.0024728;0.96735;0.82361;0.96194;0.4745;0.58791;0.75988;0.55833;0.1503;0.59373
0.00076226;0.96464;0.8098;0.95879;0.50348;0.55753;0.78369;0.52577;0.14044;0.57257
0;0.96132;0.79589;0.95491;0.53264;0.52719;0.80659;0.49325;0.13088;0.55211
0.00025504;0.95731;0.78192;0.95025;0.56183;0.497;0.82851;0.4917;0.12162;0.53234
0.0015811;0.95259;0.76792;0.94474;0.59088;0.46704;0.84938;0.46206;0.11267;0.51328
0.0040156;0.94711;0.75393;0.93835;0.61965;0.43742;0.86912;0.43276;0.10402;0.49494
0.0075797;0.94083;0.73999;0.93104;0.64803;0.40823;0.88768;0.40388;0.095688;0.47732
0.012278;0.93376;0.72612;0.92279;0.67588;0.37955;0.90499;0.37551;0.087668;0.46043
0.018099;0.92587;0.71235;0.91359;0.70308;0.35147;0.92098;0.34773;0.079968;0.44426
0.025017;0.91717;0.69873;0.90346;0.72954;0.32407;0.93562;0.32062;0.072592;0.4288
0.03299;0.90767;0.68526;0.89239;0.75514;0.29743;0.94884;0.29426;0.065545;0.41404
0.041967;0.8974;0.67199;0.88042;0.77981;0.27161;0.96062;0.26872;0.05883;0.39998
0.051883;0.88639;0.65893;0.86759;0.80345;0.24669;0.9709;0.24406;0.052452;0.3866
0.062667;0.87468;0.64611;0.85394;0.82599;0.22273;0.97967;0.22036;0.046415;0.37389
0.074238;0.86231;0.63354;0.83952;0.84736;0.19979;0.98689;0.19766;0.040725;0.36182
0.08651;0.84935;0.62126;0.82441;0.86749;0.17792;0.99254;0.17603;0.035385;0.35037
0.099395;0.83584;0.60928;0.80867;0.88633;0.15718;0.99661;0.15551;0.030401;0.33953
0.1128;0.82186;0.59761;0.79237;0.90383;0.1376;0.9991;0.13614;0.025775;0.32926
0.12664;0.80748;0.58628;0.77561;0.91995;0.11924;1;0.11797;0.021513;0.31955
0.14081;0.79277;0.57528;0.75846;0.93464;0.10211;0.99932;0.10102;0.01762;0.31037
0.15522;0.7778;0.56465;0.74102;0.94788;0.086264;0.99706;0.085345;0.014099;0.30168
0.16979;0.76265;0.55438;0.72336;0.95965;0.071715;0.99325;0.070951;0.010957;0.29347
0.18444;0.7474;0.54449;0.70559;0.96992;0.058488;0.98791;0.057864;0.0081967;0.2857
0.19907;0.73212;0.53498;0.78767;0.97869;0.046597;0.98106;0.046101;0.005825;0.27835
0.21362;0.71688;0.52587;0.77127;0.98595;0.036056;0.97275;0.035672;0.0038473;0.27138
