usina;mes;chuva_media
Emborcacao;Outubro;114.88
Foz do Areia;Outubro;164.07
Furnas;Outubro;132.56
Ita Montante;Outubro;195.02
Itaipu D;Outubro;175.61
Itaipu E;Outubro;158.62
Promissao;Outubro;121.06
Rosana Norte;Outubro;132.34
Rosana Sul;Outubro;137.06
Salto Santiago;Outubro;186.56
Sao Simao;Outubro;124.38
Serra da Mesa;Outubro;136.51
Sobradinho BA;Outubro;51.67
Sobradinho MG;Outubro;97.18
Tres Marias;Outubro;107.96
Tucurui;Outubro;130.17
Agua Vermelha;Novembro;186.46
Barra Bonita;Novembro;164.34
Capivara;Novembro;143.09
Emborcacao;Novembro;209.76
Foz do Areia;Novembro;149.14
Furnas;Novembro;202.21
Ita Montante;Novembro;172.19
Itaipu D;Novembro;159.11
Itaipu E;Novembro;155.74
Promissao;Novembro;158.53
Rosana Norte;Novembro;149.05
Rosana Sul;Novembro;141.44
Salto Santiago;Novembro;162.20
Sao Simao;Novembro;201.60
Serra da Mesa;Novembro;233.08
Sobradinho BA;Novembro;124.69
Sobradinho MG;Novembro;206.84
Tres Marias;Novembro;209.74
Tucurui;Novembro;210.73
Agua Vermelha;Dezembro;263.68
Barra Bonita;Dezembro;221.59
Capivara;Dezembro;183.84
Emborcacao;Dezembro;277.00
Foz do Areia;Dezembro;160.84
Furnas;Dezembro;281.03
Ita Montante;Dezembro;166.47
Itaipu D;Dezembro;172.04
Itaipu E;Dezembro;176.12
Promissao;Dezembro;221.50
Rosana Norte;Dezembro;198.23
Rosana Sul;Dezembro;175.91
Salto Santiago;Dezembro;171.48
Sao Simao;Dezembro;264.03
Serra da Mesa;Dezembro;302.76
Sobradinho BA;Dezembro;152.65
Sobradinho MG;Dezembro;251.60
Tres Marias;Dezembro;282.68
Tucurui;Dezembro;275.66
